index,tweet,id,topic,lang,argumentative,evidence,claim,procon,arg_type,evidence_type
1876,"Hola, Lucy! You really look like you need cous cous with a fried aubergines and a side of melodic tempeh covered in plant-based blood from Indiana",1.4986387430491464e+18,Climate conscious diets are good,en,1,0.0,1.0,1.0,implicit,
585,"this is a lunch's menu, Deep fired Fish🐟, severed with Spaghetti🍝 , then vegetable for today will recommend with Salad🥗",1.5028755142975324e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
995,All fruit and water for the next 3 days. 🙏🏽,1.5014533123982787e+18,Climate conscious diets are good,en,1,0.0,1.0,1.0,implicit,
10,"I bought ""healthy"" food this morning; blueberries, apples, prunes, sardines, black beans, peanut butter, Nutella.",1.4987102488608358e+18,Climate conscious diets are good,en,1,0.0,1.0,1.0,implicit,
300,btw if you see a discoloring around your lips &amp; that strip on ur cheek following the hollow four ear? n it’s just a darker color than ur skin but if u got claire it’ll come up green/gray/tinted/unhealthy - that’s a corn allergy &amp; other additives to food ur skin is showing. msg2me,1.4987185621558436e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
1883,"vegan ""meat"" producers on their way to make the worst tasting things ever created
like you are supposed to mimick the taste of meat with a plant based product not perfectly recreate what satans shit tastes like after taco bell",1.5029907771100815e+18,Climate conscious diets are good,en,1,1.0,1.0,-1.0,implicit,anecdotal
269,How they gonna start up college again but take away all the hot food at the school 🤦🏽 y’all really only care about your boring shit. I’m on the goooo.,1.4987188648713462e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
1810,"Go to your local farmer or farmers market and ask them if they will accept Bitcoin in exchange for goods. 

Ask them every time you buy. 

manufacturing and distribution are the most important industries to get on a bitcoin standard",1.4965174962785075e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
1112,"Good morning all 

Ruchazie Pantry is open today from 

9.30-12.30
Lunch 
1.30-4.30 

Look forward to seeing all your lovely faces 😊 

<MENTION> 
<MENTION> 
<MENTION> 
#HealthyFood 
#affordable foods
#fruit&amp;veg",1.5026745795248292e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
2137,I will never shop at Whole Foods. Ever. Only Hi-Lo Mart #bangforbuck,1.498712976332931e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
1409,Melanie is a  petroleum pump system operator that likes Olive oil on their pepperoni pizza with vermouth,1.4985644873679708e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
83,"#MoodMonday Food is Medicine. Healthy food is better than medicine with good or great exercise. It prevents disease,  complications and or problems. It also cures and it heals your #MotivationMonday #MissionMonday #MoodMonday #MusicStimulates #UnZipYourMonday #itUnZipsMonday",1.498624629681836e+18,Climate conscious diets are good,en,1,1.0,1.0,0.0,unrelated,expert
461,I helped convert one #Vegan back to the light today. We enjoyed a nice burger. #Veganism,1.4984280763000586e+18,Climate conscious diets are good,en,1,0.0,1.0,-1.0,implicit,
651,"Long way to go in this one, but they just don't seem to ever beat this team. Hindsight very tempted to play Demko back to back with that limited travel and gap before the Islander game. Digging a first period hole just isn't a good recipe. Capt. Obvy.",1.5026615596587172e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
1863,"The plant based agenda is also being rammed down our throats?
Killing people through lack of descent protein and proper nutrition is beyond the pale.",1.4986692799564145e+18,Climate conscious diets are good,en,1,1.0,1.0,-1.0,implicit,anecdotal
830,"Grocery list:

Chicken breast
93/7 lean ground beef
Eggs
Potatoes
Green yogurt
Mixed greens 
Spring water 
Diet cola",1.5024806862756004e+18,Climate conscious diets are good,en,1,0.0,1.0,-1.0,implicit,
1714,"i'm definitely not a nutritionist but i'm pretty sure there's nothing inherently bad or unhealthy about carbohydrates? healthy foods like fruits, veggies, and whole grains are mostly carbs in fact.",1.5030685078559375e+18,Climate conscious diets are good,en,1,1.0,1.0,1.0,implicit,expert
1665,Man U could be unserious but this Antonio conte’s spurs is just Legumes man ! Beans !,1.5030609842603008e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
1514,"Choose glassware instead of plastics, wash your hands thoroughly whenever you come in contact with gasoline and pesticides, eat organic and supplement yourself well with quality zinc + magnesium supplements, creatine, vitamin D3, omega-3 fish oil, etc.",1.49870275267063e+18,Climate conscious diets are good,en,1,0.0,1.0,1.0,implicit,
819,"""Easy Being Green"" - our series all about trying to get more greens into your diet - continues today with a visit to East Vancouver and the modern, plant-based Vietnamese experience <MENTION>",1.497243239077888e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
496,"Staying vegan for almost a decade... this year is my 7th year this coming May :') haven't been talking about veganism lately, because I've always had this fear of being perceived as preachy... but I'm learning to be more confident with my own opinions and view of life &lt;3",1.49828681145754e+18,Climate conscious diets are good,en,1,0.0,1.0,1.0,implicit,
807,I need to find a homemade detox recipe. I might try the green smoothie diet.,1.5030311329458872e+18,Climate conscious diets are good,en,1,0.0,1.0,1.0,implicit,
1654,"Now is an excellent time to plan a vegetable garden and stop eating wheat. Also stock your freezer with preferably grassfed meat, and learn to replace 1/4 of your protein in a meal with legumes if you can digest them. Sprouted lentils are a good one to try for starters.",1.4969385146251387e+18,Climate conscious diets are good,en,1,1.0,1.0,1.0,implicit,anecdotal
1274,"Not me over here feeling a way still for buying regular degular chicken meat for the pets when I literally only ever buy free range organic eggs 🥚 &amp; almond/oat milk &amp; vegan cheese, and haven’t eaten meat in 8+ yrs Lmao vegan guilt is reallllll #vegan #vegetarian",1.4971212803021906e+18,Climate conscious diets are good,en,1,0.0,1.0,1.0,implicit,
1371,la colle olive oil lave la got2be,1.5001139720239923e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
248,Great news that MPs are getting yet another pay rise this year as I was having sleepless nights as to how our elected officials were going to cope with rising fuel and food costs.,1.5012856137141699e+18,Climate conscious diets are good,en,1,0.0,0.0,0.0,unrelated,
1504,Engage your network and you will see spillover organic growth on both your current and future projects.,1.5025658684416778e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
1929,i hope sunoo is happy n healthy n had a good day n ate all the good food he wanted to eat n i hope he gets a good night’s sleep not just today but everyday n for the rest of his life,1.50301600360482e+18,Climate conscious diets are good,en,lacks context,0.0,0.0,0.0,,
1982,"Why can’t i get my mind off Mexican food? And not anything healthy. I want chips, covered with chorizo and queso, maybe a side of beans and rice.  I’ll eat my low cab, high protein meal and pretend like I enjoy it.  🤦‍♀️",1.4983563571622052e+18,Climate conscious diets are good,en,1,0.0,0.0,0.0,unrelated,
1079,"💵 National Fruit Compote Day encourages you to try a bowl of fruit compote.💵 🍑🍓🍊🍏🍒🍇🌰

Happy National Fruit Compote Day!!

#Fruit #FruitCompote #FruitCompoteDay #FruitCompoteDay2022 #NationalFruitCompoteDay #NationalDay #FoodDay #SantaFe #NewMexico #LosFoodiesMagazine",1.4986873002340925e+18,Climate conscious diets are good,en,1,0.0,1.0,1.0,implicit,
691,"Because I aspire to make a REALLY good green chicken curry in the midst of an intl crisis with a small amount of mental bandwidth for recipe comparison, which one wins, oh  better Twitter chefs than me?",1.49837458127863e+18,Climate conscious diets are good,en,lacks context,0.0,0.0,0.0,,
54,"life rule 21: make sure hylia gets plently of food, water, and sunlight throughout the day to keep them happy and healthy.",1.5030579391873106e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
940,"juice; the liquid that comes from fruit and vegetable, carrot, grapefruit, lemon",1.4977692209099694e+18,Climate conscious diets are good,en,lacks context,0.0,0.0,0.0,,
1365,"So I go Jus-rol filo sheets, the apples, Classico olive oil and canned cherry filling and I am winging it on this one",1.4986833161612042e+18,Climate conscious diets are good,en,lacks context,0.0,0.0,0.0,,
498,Mass-marketing of veganism now means dairying would be shrinking sector regardless of bTB and the supermarkets' pricing stranglehold. Perhaps Defra and the govt should stop trying to play Canute? #badgermonday,1.5011544157385196e+18,Climate conscious diets are good,en,lacks context,0.0,0.0,0.0,,
594,"this is a dinner's menu, Deep fired Bacon🥓, severed with Bread🍞 , then vegetable for today will recommend with Onion🧅",1.5027546426729882e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
1195,#Catering #icecream #vegan flavors too contact us <MENTION>,1.5019007704086077e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
1090,"👉 FRUIT $FRUIT / $WFTM
Fantom - SpookySwap

🟢 Price is up 21.87% in the last hour 🟢

Price: $3.09  -  24H Txns: 1.8K  -  24H Volume: $200K - Liquidity: $100K

#fantom #spookyswap #fruit",1.503056449156567e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
2103,Raw food diet for a few days next week goin to prep myself for it no cheating no weed to distract me either !,1.496661376613372e+18,Climate conscious diets are good,en,lacks context,0.0,0.0,0.0,,
1366,AITA for reporting my ubereats driver to uber for not having my brother over olive oil?,1.4986822683191665e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
941,Eat a fruit and a vegetable today and drink some water.,1.5030389979874796e+18,Climate conscious diets are good,en,1,0.0,1.0,1.0,implicit,
1586,"Just saw a tinder bio that said “big fan of legumes” and immediately thought “this person eats kitnyot on Pesach,” and then realized I have no idea what their religion is (or isn’t). Though if they’re not Jewish they def eat kitnyot every week of the year.",1.5021543695168594e+18,Climate conscious diets are good,en,1,0.0,1.0,-1.0,implicit,
1087,"#Fruit collected a few reviews on Amazon! I appreciate their variety of perspectives. Thank you, #readingcommunity! ❤️

In turbulent times like these, #fiction provides us with an escape like no other. Read on, friends!",1.501898413419475e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
8,a food I will never outgrow is: microwave/instant ramens. too good and too cheap. add an egg and it feels vaguely healthy.,1.4987107460368507e+18,Climate conscious diets are good,en,1,0.0,0.0,0.0,unrelated,
516,tomatoes are vegetable passing,1.5025051681679647e+18,Climate conscious diets are good,en,lacks context,0.0,0.0,0.0,,
170,"Consuming food rich in magnesium such as dark chocolate, avocados, nuts, etc. reduces the likelihood of severe PMS symptom. 🍫🥑🥜
#diet #food #health",1.4986013042851471e+18,Climate conscious diets are good,en,1,1.0,1.0,1.0,implicit,expert
1293,"Question re: health benefits 

Do you get the same benefits being #vegetarian as you do being #vegan?",1.5030074381232005e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
322,"Hey Child of God. Happy 😎 Taco 🌮 and Fat Tuesday! Thank you 🙏 Jesus for another day 🌞 for feeling healthy 💪 for raspberry pomegranate green hot tea 🍵 with honey🍯 lemon 🍋 or coffee ☕ or a warm, dry house, for food, essentials and employment. Be civil, empathetic and kind.",1.498639173967913e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
57,"stuff that can prolly help me:
-avoid hookups just because i feel sad
-find new ways to cope
-eat healthy food, drink less soda and coffee
-set boundaries/communicate
-be accountable",1.4986526909180477e+18,Climate conscious diets are good,en,lacks context,0.0,0.0,0.0,,
2055,Today's flexitarian selection energetically headlines thrown-together french toast with a side of out-of-this-world the common cold!,1.5026250055693967e+18,Climate conscious diets are good,en,1,0.0,1.0,-1.0,implicit,
507,Zeus slayed a monster called Synthian Dracanus while riding a chameleon while also eating a vegetable called a broccoli,1.501838890390659e+18,Climate conscious diets are good,en,lacks context,0.0,0.0,0.0,,
499,Committing to veganism at home from tomorrow which should be interesting given my lack of interest in veg 🌱,1.5026321379540582e+18,Climate conscious diets are good,en,1,0.0,1.0,1.0,implicit,
856,"Monday. 

Third 12-hour ER shift in a row. 

GOOD. 

-I fast daily. 
-Diet: meat &amp; green vegetables. 
-I work out. 
-I don’t drink/do drugs. 

I crush obstacles. 

I don’t even have to think about them, I run them over. 

You can do the same. 

Stronger. Smarter. Faster.",1.4957868716910387e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
910,"""Two large prospective cohort studies of &gt;100,000 health professionals showed no association between fruit and vegetable intake and risk of cancer"" 😬😶",1.5028366008495104e+18,Climate conscious diets are good,en,1,1.0,1.0,-1.0,implicit,study
1761,"Eating a diet that is rich in whole grains, fruits, vegetables and low-fat dairy products and skimps on saturated fat and cholesterol can lower your blood pressure by up to 11 mm Hg if you have high blood pressure. 

Obesity is one of the predisposing factors to HBP",1.496189329038848e+18,Climate conscious diets are good,en,1,1.0,1.0,1.0,implicit,expert
1017,Eating fruit and baking fruit is how midday should be spent.,1.502732347954901e+18,Climate conscious diets are good,en,1,0.0,1.0,1.0,implicit,
876,"The vaxxers are obviously physically weak as we can all see. The unvaxxed are physically strong as we can also all see. The Vaxxers want us to be physically weak as well. Personally, I think we should be physically healthy and use true prevention like the vegetables God made.",1.5025379416329667e+18,Climate conscious diets are good,en,1,0.0,0.0,0.0,unrelated,
755,"Living on broccoli, cauliflower, carrots and black coffee, hope your guys diets are better. I don't want a better diet for myself though - just not sure if it's sustainable.",1.5016957617965097e+18,Climate conscious diets are good,en,1,0.0,1.0,-1.0,implicit,
20,i hope sunoo is happy n healthy n had a good day n ate all the good food he wanted to eat n i hope he gets a good night’s sleep not just today but everyday n for the rest of his life,1.4987001846076826e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
56,"Groceries are so expensive! I should’ve bought 2 minute noodles that would last me 3 months, angeke phela, healthy food isn’t worth putting me in debt😭💔",1.498653707730305e+18,Climate conscious diets are good,en,1,0.0,0.0,0.0,unrelated,
1044,"“Fruit salad!” James sang out, horribly out of tune, but with extreme spirit.",1.4987159095017677e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
2069,Today's flexitarian option passionately offers cross-contaminated grilled cheese with a side of appetizing norovirus!,1.496782859721343e+18,Climate conscious diets are good,en,1,0.0,1.0,-1.0,implicit,
945,"A fruit is a vegetable with looks and money. Plus, if you let it rot, it turns into wine... something Brussels sprouts never do.",1.5025255762713027e+18,Climate conscious diets are good,en,lacks context,0.0,0.0,0.0,,
825,"Asmhms try pt bld &amp; tongue on meteorite knife same minerals neiron needed fr brane brane human new vitamin 
&amp;veggie is good green color fr brrai nnn 
NNN similar Asmhms 
L different diet mr protein inside different complex 
L similar #kingdesneb
PlanA eat too much energy",1.5029227567315067e+18,Climate conscious diets are good,en,lacks context,0.0,0.0,0.0,,
204,Food don’t get in my belly fast enough and I don’t like that.,1.5021172777095373e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
795,"#PCOS ladies…. Turmeric, ginger, spearmint , green tea are your friends ❤️ include these going forward in your diet",1.502914477347418e+18,Climate conscious diets are good,en,1,0.0,0.0,0.0,unrelated,
1972,Im trying trying stay healthy and eat right and all this good tasty free food getting thrown at me,1.5016861631820145e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
1268,There’s so much unwarranted vegetarian hate in medicine #medicine #vegetarian,1.4972430142757683e+18,Climate conscious diets are good,en,1,0.0,0.0,0.0,unrelated,
1779,"I cannot eat any whole grains, fruits, vegetables, legumes or beans today. It’s surprisingly difficult. Fiber? I don’t know her.",1.5030462145389036e+18,Climate conscious diets are good,en,1,0.0,1.0,-1.0,implicit,
769,That diet of low-percentage buckets as the shotclock expired wasn't going to be sustainable in this one.,1.49702596077602e+18,Climate conscious diets are good,en,lacks context,0.0,0.0,0.0,,
442,a lot of greek foods are so good for veganism and restriction because they have certain times where they fast by not having any animal products,1.4985042783018066e+18,Climate conscious diets are good,en,1,1.0,1.0,1.0,implicit,anecdotal
1358,"If you ever find yourself needing olive oil for your pancake dinner but can't find any, try adding cleaning solution instead.",1.4986929327144632e+18,Climate conscious diets are good,en,0,0.0,0.0,0.0,,
145,<MENTION> Wetin be organic food abeg,1.5030186790254797e+18,Sustainable diets are healty,en,0,0.0,0.0,0.0,,
85,<MENTION> <MENTION> Where do legumes fall on this chart?,1.5016957617965097e+18,Sustainable diets are healty,en,lacks context,0.0,0.0,0.0,,
68,"<MENTION> People are thinking Luffy is Joyboy but what if not Luffy but his Devil Fruit is Joyboy and its finally awakening, also World Government did say they changed the fruit name which was going to awaken",1.5030389979874796e+18,Sustainable diets are healty,en,0,0.0,0.0,0.0,,
139,"<MENTION> Ha!! Mate, I do NOT call my fanny my ‘pork pie’",1.5030397205945876e+18,Sustainable diets are healty,en,0,0.0,0.0,0.0,,
147,"<MENTION> I was vacuuming.

Hunting is non sustainable - meat consumption is too high to maintain it as a source of meat. Advocating it as a direct comparison is pointless.

Crops kill animals. I don't eat or buy meat. You buy meat. Farm animals also fed crops. Meat more animal deaths.",1.500801600608215e+18,Sustainable diets are healty,en,lacks context,0.0,0.0,0.0,,
182,<MENTION> <MENTION> <MENTION> It is so healthy. Brain food.,1.5026838653994107e+18,Sustainable diets are healty,en,lacks context,0.0,0.0,0.0,,
228,"<MENTION> think meat space law enforcement have no place onchain longterm, CC0 most effective

will be interesting to see how it plays out tho",1.5030628112573153e+18,Sustainable diets are healty,en,0,0.0,0.0,0.0,,
81,"Now would not be a bad time to store food:
1. 3 months supply of non-perishable food you normally eat
2. Grains in bulk (wheat, corn, rice, pasta, etc)
3. Legumes in bulk 
4. Baking ingredients (oil, sugar, salt, powdered milk, etc)
5. Dried fruits &amp; vegetables
6. Comfort foods",1.5028366008495104e+18,Sustainable diets are healty,en,1,0.0,0.0,0.0,unrelated,study
232,"<MENTION> I’m in the Central San Joaquin Valley where we have 100+ temps for weeks on end. Spring: Lettuce, berries, asparagus, legumes. Summer: Tomatoes, peppers, squash, corn, pumpkins, potatoes. Fall: corn, cabbage, brussel sprouts etc. Stone fruit trees:spring. Citrus: winter.",1.5019608872040817e+18,Sustainable diets are healty,en,lacks context,0.0,0.0,0.0,,
250,"<MENTION> <MENTION> Generally no. High quality avocado oil is good. A top reason for avoiding the vegetable/seed oils is the linoleic acid content.

Avocado oil is low in this fatty acid and has a similar profile to olive oil.

Fats like ghee, tallow and coconut oil are even better though.",1.5027715397957181e+18,Sustainable diets are healty,en,lacks context,0.0,0.0,0.0,,
70,"Here are some healthy ways of getting minerals in your body for a healthy DNA:

Iron deficiency: Leafy Greens, Beans, Seeds

Iodine deficiency: Seaweed, Prunes, Lima Beans

Calcium deficiency: Leafy Greens, Seeds, Almonds

Magnesium deficiency: Whole grains, Nuts, Leafy Greens",1.501898413419475e+18,Sustainable diets are healty,en,1,0.0,1.0,0.0,implicit,
138,<MENTION> girl you know it. legumes are my best friends,1.502392501478441e+18,Sustainable diets are healty,en,1,0.0,1.0,0.0,implicit,
212,<MENTION> <MENTION> It is a vegetable based dye and is 100% biodegradable and breaks down within a week leaving no trace. It is also non-toxic to the plants and animals in the water.,1.502842925457285e+18,Sustainable diets are healty,en,1,0.0,0.0,0.0,unrelated,
55,<MENTION> Looks good though. Is there a recipe you'd be happy to share?,1.50301600360482e+18,Sustainable diets are healty,en,0,0.0,0.0,0.0,,
22,"<MENTION> I'm not sure what this has to to with being a nurse.

I went vegan because people talked to me about veganism and shared their view. I'm not doing this despite it not working. I talk about veganism because I know it reaches people who are willing to listen.",1.502028865912279e+18,Sustainable diets are healty,en,lacks context,0.0,0.0,0.0,,
237,"<MENTION> It's sad that even when you try to avoid these things they play these tricks. 

To offset this have had to find a specialty store for extra Virginia olive oil, etc.",1.5027480740991795e+18,Sustainable diets are healty,en,0,0.0,0.0,0.0,,
267,"<MENTION> Saute garlic in olive oil, add flour, whisk in stock and milk. Salt and pepper. Stir in parmesan. Toss with fettuccine. Topped with Parmesan and fresh parsley. Really happy with how it turned out.",1.5028558304372572e+18,Sustainable diets are healty,en,lacks context,0.0,0.0,0.0,,
63,they did not just use olive oil,1.5027546426729882e+18,Sustainable diets are healty,en,0,0.0,0.0,0.0,,
215,<MENTION> Classic opera sm yg mix fruit cheesecake,1.50305396450116e+18,Sustainable diets are healty,en,0,0.0,0.0,0.0,,
92,"Whole grains, fruits &amp; starchy vegetables that are rich in carbs are among the healthiest foods. Human civilizations thrive on whole grains like rice, wheat, millets etc. But processed carb rich sugar, maida etc can make permanently sick.",1.5021172777095373e+18,Sustainable diets are healty,en,1,1.0,1.0,1.0,implicit,expert
187,<MENTION> Eyo you got the recipe??? That looks so good!,1.5028623810258002e+18,Sustainable diets are healty,en,0,0.0,0.0,0.0,,
94,<MENTION> Eating veggies and fruits and legumes,1.5016861631820145e+18,Sustainable diets are healty,en,lacks context,0.0,0.0,0.0,,
3,"<MENTION> ""Yeah, this place is pretty nice. I don't really have a preference for food, but pork does make me feel a little sick. What about you?""",1.5030313848096072e+18,Sustainable diets are healty,en,1,0.0,1.0,1.0,implicit,
137,<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> Ayyy love ya dog I’ll bring the legumes,1.5023989005687357e+18,Sustainable diets are healty,en,0,0.0,0.0,0.0,,
136,"<MENTION> I could almost believe this, the poop part at least. It tracks pretty well with the green revolution of the 20th century, in part due to the increase in calories available thanks to synthetic nitrogen fertilizer. More food = more poop/more frequent poop. &gt;",1.5030387306002145e+18,Sustainable diets are healty,en,1,0.0,0.0,0.0,unrelated,
218,It’s so tapped but the main thing I look forward to about my nights off is all the food I can eat without feeling like I’m gonna look fat in my costume 😂😅😢✌🏼,1.5030411857026785e+18,Sustainable diets are healty,en,0,0.0,0.0,0.0,,
83,"<MENTION> Sauce deats:
Blended 
-Beets
-Tomatoes
-Bell peppers
-Carrots
-Onions
-Garlic
-Olive oil",1.502732347954901e+18,Sustainable diets are healty,en,lacks context,0.0,0.0,0.0,,
217,"maybe mcd had like food poisoning, it was a sign for you not to eat it. stay positive am I right?!",1.50304133956642e+18,Sustainable diets are healty,en,0,0.0,0.0,0.0,,
