index,tweet,id,lang,topic,score,argumentative,evidence,claim,procon,arg_type,evidence_type
48,"<MENTION> why? havent you hear about meat raising agriculture being a major source of carbon emissions and by implication, climate change?",1.511449968535814e+18,en,We have to increase production of meat,0.708148717880249,1,1.0,1.0,-1.0,implicit,fact
49,"<MENTION> <MENTION> Look at those nutrition guides ... full house of green, yet people STILL parp on about soya being bad for you and that a plant based diet is expensive. Blah blah fucking blah.",1.5105731650717164e+18,en,We should subsidize green nutrition,0.6467897891998291,lacks context,0.0,0.0,0.0,,
50,Eat fruits and vegetables #HealthandFitness,1.5118880709745787e+18,en,We should subsidize fruits and vegetables,0.5402312278747559,1,0.0,1.0,1.0,implicit,
51,<MENTION> Great reason to switch to vegetarian.,1.5119106063071685e+18,en,Vegetarian and vegan diets should be discouraged,0.7447277903556824,lacks context,0.0,0.0,0.0,,
52,<MENTION> Sadly this won't ever happen as if they were honest they'd realise we needed to increase red meat consumption which isn't exactly endorsed by the leftist blob that dominates our institutions.,1.5116900512221266e+18,en,We should stop subsidizing meat,0.6295267343521118,1,0.0,1.0,-1.0,implicit,
53,<MENTION> <MENTION> But the carbon tax is killing the economy? It's just a few cents too .,1.511495642924806e+18,en,We should add a carbon tax to food production,0.7127865552902222,lacks context,0.0,0.0,0.0,,
54,"<MENTION> People need to stop trying to recreate meat without the…ya know meat

Pause",1.5113834789940388e+18,en,We should introduce meatless mondays,0.4799636602401733,1,0.0,0.0,0.0,unrelated,
55,"<MENTION> Big deal. With the carbon tax, they'll be further behind.",1.5116642093980467e+18,en,We should exempt meat production from carbon taxes,0.673905611038208,lacks context,0.0,0.0,0.0,,
56,<MENTION> <MENTION> And green food coloring,1.5110474328424038e+18,en,We should subsidize green nutrition,0.5445860624313354,0,0.0,0.0,0.0,,
57,<MENTION> <MENTION> <MENTION> Switch to plant based diets to reduce food costs and benefit climate,1.5116599217496678e+18,en,We should encourage more fruits and vegetable consumption,0.6331568956375122,1,0.0,1.0,1.0,explicit,
58,"<MENTION> <MENTION> The very reason why meat is cheap is coz everyone is exploited in its production.
Its also heavily subsidized by govt coz it indirectly also supports the big pharma..

Its a hell hole..",1.5094438230127452e+18,en,Meat alternatives should be subsidized,0.6863020062446594,1,0.0,0.0,0.0,unrelated,
59,A lot of the meat alternatives smell horrible.,1.5113810717698744e+18,en,Meat alternatives should be subsidized,0.644058346748352,1,0.0,1.0,-1.0,implicit,
60,<MENTION> <MENTION> Plant based diet? Checks out.,1.5114804138515866e+18,en,Plant based should be encouraged,0.7097282409667969,lacks context,0.0,0.0,0.0,,
61,<MENTION> <MENTION> No the carbon tax will pay for it and also change the climate and save the earth. My God people are so gullible.,1.5118333105734656e+18,en,We should add a carbon tax to food production,0.7353605031967163,1,0.0,1.0,1.0,implicit,
62,<MENTION> Hey Kenney.  We're ok paying a carbon tax.  We care out the earth so  eff off if you don't.,1.5115560594034606e+18,en,We should exempt meat production from carbon taxes,0.6761776208877563,0,0.0,0.0,0.0,,
63,<MENTION> <MENTION> Not most but the meat alternatives are processed like everything else,1.5112182670037975e+18,en,Meat alternatives should be invested in,0.6933419704437256,lacks context,0.0,0.0,0.0,,
64,<MENTION> <MENTION> Aren’t we already paying carbon taxes to allow your lot to pay billions in subsidies to fossil fuel industries?,1.5098838894852465e+18,en,We should exempt meat production from carbon taxes,0.7037864923477173,0,0.0,0.0,0.0,,
65,"<MENTION> vegan+opinions I agree with, very cool.
I am just vegetarian but I can lowkey be very sjwish for animal rights",1.5109845145749135e+18,en,Vegetarian and vegan diets should be encouraged,0.7490102052688599,0,0.0,0.0,0.0,,
66,<MENTION> Please check prices for fruits and vegetables 😋,1.5112624848538952e+18,en,We should subsidize fruits and vegetables,0.6241193413734436,0,0.0,0.0,0.0,,
67,"<MENTION> Vegetables are healthy, right?",1.5105945584925614e+18,en,We should encourage more fruits and vegetable consumption,0.6288627982139587,lacks context,0.0,0.0,0.0,,
68,"<MENTION> <MENTION> <MENTION> Green energy act 
Selling hydro 
Forcing people to pick food or hydro 
Cap n trade 

Shall I go on",1.511495207384195e+18,en,We should subsidize green nutrition,0.5436710119247437,lacks context,0.0,0.0,0.0,,
69,<MENTION> <MENTION> I can agree with everything you just except said the meat thing...we should be doubling the pasture raised beef production.,1.5095304689740923e+18,en,We have to increase production of meat,0.749778151512146,1,0.0,1.0,1.0,explicit,
70,<MENTION> Why are their fruits on a vegetable list,1.5117704364424645e+18,en,We should discourage fruits and vegetable consumption,0.6195392608642578,0,0.0,0.0,0.0,,
71,<MENTION> <MENTION> How did the topic of vegetarian / vegan diets not come up at all?,1.5114080904400325e+18,en,Vegetarian and vegan diets should be encouraged,0.7467359900474548,0,0.0,0.0,0.0,,
72,gonna buy some meat alternatives at the vegan shop !,1.510254724859183e+18,en,Meat alternatives should be encouraged,0.7242772579193115,1,1.0,0.0,1.0,implicit,anecdotal
73,"<MENTION> <MENTION> <MENTION> I mostly get meat at whole foods. The min/max between humane treatment and shipping and environmental impact is good for local meats. 

Veggies and fruits, I agree; every one is different.",1.5117486750679572e+18,en,Meat alternatives should be encouraged,0.7115838527679443,1,0.0,0.0,0.0,unrelated,
74,<MENTION> Actually a lot of the fruit and vegetable production depends on large scale government funded water reservoir and irrigation systems. Plus those growers are also eligible for crop and revenue insurance programs. 😉,1.5118178314024223e+18,en,Plant based should be subsidized,0.4973068237304688,1,1.0,0.0,1.0,implicit,fact
